วันที่,ไม่ได้จัดทำดัชนี,จัดทำดัชนีแล้ว,การแสดงผล
2026-01-14,,,58
2026-01-15,,,57
2026-01-16,,,44
2026-01-17,72,48,50
2026-01-18,74,43,43
2026-01-19,74,43,51
2026-01-20,74,43,28
2026-01-21,107,43,32
2026-01-22,107,43,48
2026-01-23,107,43,47
2026-01-24,107,43,75
2026-01-25,107,41,54
2026-01-26,107,41,41
2026-01-27,107,41,61
2026-01-28,110,40,62
2026-01-29,110,40,32
2026-01-30,110,40,48
2026-01-31,110,40,45
2026-02-01,122,41,59
2026-02-02,122,41,63
2026-02-03,122,41,54
2026-02-04,120,41,61
2026-02-05,120,41,63
2026-02-06,120,41,63
2026-02-07,120,41,81
2026-02-08,120,41,75
2026-02-09,120,41,71
2026-02-10,120,41,62
2026-02-11,121,40,43
2026-02-12,121,40,37
2026-02-13,121,40,65
2026-02-14,121,40,66
2026-02-15,124,37,69
2026-02-16,124,37,67
2026-02-17,124,37,60
2026-02-18,133,30,111
2026-02-19,133,30,65
2026-02-20,133,30,69
2026-02-21,133,30,60
2026-02-22,135,28,52
2026-02-23,135,28,53
2026-02-24,135,28,52
2026-02-25,154,27,66
2026-02-26,154,27,78
2026-02-27,154,27,59
2026-02-28,154,27,77
2026-03-01,154,27,120
2026-03-02,154,27,62
2026-03-03,154,27,75
2026-03-04,231,28,63
2026-03-05,231,28,51
2026-03-06,231,28,57
2026-03-07,231,28,49
2026-03-08,221,28,56
2026-03-09,221,28,57
2026-03-10,221,28,32
2026-03-11,231,29,33
2026-03-12,231,29,48
2026-03-13,231,29,41
2026-03-14,231,29,48
2026-03-15,231,29,91
2026-03-16,224,27,45
2026-03-17,224,27,41
2026-03-18,237,32,58
2026-03-19,237,32,72
2026-03-20,237,32,53
2026-03-21,237,32,42
2026-03-22,247,37,77
2026-03-23,247,37,59
2026-03-24,247,37,42
2026-03-25,248,38,70
2026-03-26,248,38,75
2026-03-27,248,38,78
2026-03-28,248,38,62
2026-03-29,252,40,66
2026-03-30,252,40,74
2026-03-31,252,40,34
2026-04-01,259,40,44
2026-04-02,259,40,43
2026-04-03,259,40,69
2026-04-04,259,40,56
2026-04-05,259,40,53
2026-04-06,259,40,113
2026-04-07,270,40,83
2026-04-08,270,40,43
2026-04-09,270,40,48
2026-04-10,270,40,38
